,nflId,gameId,playId,avg_pressure_probability,avg_predicted_motion_pressure,pressure_delta,displayName
0,52585.0,2021100308,836,0.4528959981416142,0.4040599591984931,0.04883603894312111,Michael Danna
1,44915.0,2021102400,1191,0.21122425182421373,0.16926166511557325,0.041962586708640476,Trey Hendrickson
2,35470.0,2021100301,292,0.37489717036122727,0.33298192203654436,0.04191524832468291,Jerry Hughes
3,47846.0,2021091209,126,0.3924992847743222,0.35160778209456256,0.04089150267975966,Juan Thornhill
4,47872.0,2021092608,98,0.4047667907318536,0.3661723130603149,0.03859447767153873,Bobby Okereke
5,41235.0,2021101702,1697,0.5177583718996015,0.47949548270124454,0.038262889198356964,Anthony Barr
6,42390.0,2021092610,839,0.47508470406501563,0.4378044248017748,0.037280279263240845,Eric Rowe
7,42403.0,2021103112,55,0.3216819338819478,0.2851511381822616,0.0365307956996862,Randy Gregory
8,41915.0,2021090900,3406,0.19628113531443703,0.1600936380185433,0.03618749729589374,Shaquil Barrett
9,48524.0,2021101100,3220,0.23314082307447034,0.19716324320662024,0.03597757986785011,Anthony Chesley
10,53461.0,2021091910,4078,0.3371663769393504,0.301616313054683,0.035550063884667416,Joe Tryon
11,43341.0,2021102402,2888,0.16209051103966207,0.12665976638615672,0.03543074465350535,Deion Jones
12,46139.0,2021092613,858,0.22523286458743322,0.18987127157930891,0.035361593008124304,Fred Warner
13,44829.0,2021092600,555,0.1473932040593701,0.11316118527172836,0.03423201878764173,Jonathan Allen
14,44937.0,2021102406,1693,0.24618386195925165,0.2120078550801349,0.03417600687911676,Jalen Reeves-Maybin
15,48089.0,2021103110,3640,0.2878443853774616,0.2545651984465809,0.03327918693088072,Malik Reed
16,43333.0,2021091205,513,0.27862357293121803,0.2453506697654685,0.033272903165749546,Jihad Ward
17,41279.0,2021091901,1499,0.16993671013472994,0.13671574639832285,0.033220963736407094,Jeremiah Attaochu
18,46082.0,2021091600,3085,0.1290753839771216,0.09600427567861049,0.03307110829851111,Daron Payne
19,43503.0,2021091210,865,0.29315270562070406,0.2606429459239977,0.03250975969670633,Elandon Roberts
